,session,participant,time,depth_frame_id,depth_frame_time,color_frame_id,color_frame_time
14911,1,3,17230.12365287025,17385.0,1602189701263.9785,8961.0,1602189701215.6003
14912,1,3,17230.15690951542,17386.0,1602189701297.694,8962.0,1602189701282.6597
14913,1,3,17230.189532859735,17387.0,1602189701331.0083,8962.0,1602189701282.6597
14914,1,3,17230.22475220757,17388.0,1602189701363.9697,8963.0,1602189701349.5913
14915,1,3,17230.257467952008,17389.0,1602189701397.2815,8963.0,1602189701349.5913
14916,1,3,17230.291186297807,17390.0,1602189701430.7764,8964.0,1602189701416.7124
14917,1,3,17230.32449774305,17391.0,1602189701464.6675,8964.0,1602189701416.7124
14918,1,3,17230.356851886998,17392.0,1602189701497.322,8965.0,1602189701483.4353
14919,1,3,17230.391620334223,17393.0,1602189701530.8193,8965.0,1602189701483.4353
14920,1,3,17230.425601880383,17394.0,1602189701564.4739,8966.0,1602189701550.5005
14921,1,3,17230.456640822544,17395.0,1602189701597.7197,8966.0,1602189701550.5005
14922,1,3,17230.49105916929,17396.0,1602189701630.7312,8967.0,1602189701617.529
14923,1,3,17230.52338021319,17397.0,1602189701663.9856,8967.0,1602189701617.529
14924,1,3,17230.55821666051,17398.0,1602189701697.4355,8968.0,1602189701684.5012
14925,1,3,17230.590901304902,17399.0,1602189701730.7937,8968.0,1602189701684.5012
14926,1,3,17230.624770850907,17400.0,1602189701764.5513,8969.0,1602189701751.3103
14927,1,3,17230.65696759464,17401.0,1602189701797.4302,8969.0,1602189701751.3103
14928,1,3,17230.689995539506,17402.0,1602189701830.7485,8970.0,1602189701818.3145
14929,1,3,17230.7245968865,17403.0,1602189701864.6208,8970.0,1602189701818.3145
14930,1,3,17230.7577238315,17404.0,1602189701897.472,8971.0,1602189701885.297
14931,1,3,17230.79048057599,17405.0,1602189701930.8125,8971.0,1602189701885.297
14932,1,3,17230.826064624325,17406.0,1602189701964.242,8972.0,1602189701952.2275
14933,1,3,17230.857185866593,17407.0,1602189701998.0823,8972.0,1602189701952.2275
14934,1,3,17230.89068061209,17408.0,1602189702031.3208,8973.0,1602189702019.072
14935,1,3,17230.924073257447,17409.0,1602189702064.7317,8973.0,1602189702019.072
14936,1,3,17230.957343002636,17410.0,1602189702097.517,8974.0,1602189702086.1604
14937,1,3,17230.990644847872,17411.0,1602189702130.9631,8974.0,1602189702086.1604
14938,1,3,17231.025041094592,17412.0,1602189702164.2993,8975.0,1602189702153.1152
14939,1,3,17231.05693993792,17413.0,1602189702197.5051,8975.0,1602189702153.1152
14940,1,3,17231.091068484275,17414.0,1602189702230.8855,8976.0,1602189702220.0005
14941,1,3,17231.12482043012,17415.0,1602189702264.182,8976.0,1602189702220.0005
14942,1,3,17231.157940475106,17416.0,1602189702297.5208,8977.0,1602189702287.025
14943,1,3,17231.190379419168,17417.0,1602189702331.3152,8977.0,1602189702287.025
14944,1,3,17231.223874564665,17418.0,1602189702364.2314,8978.0,1602189702353.8508
14945,1,3,17231.257409610214,17419.0,1602189702397.5088,8978.0,1602189702353.8508
14946,1,3,17231.29194185712,17420.0,1602189702431.0383,8979.0,1602189702420.9172
14947,1,3,17231.32363820017,17421.0,1602189702464.21,8979.0,1602189702420.9172
14948,1,3,17231.358090446967,17422.0,1602189702497.9604,8980.0,1602189702487.86
14949,1,3,17231.390003090313,17423.0,1602189702531.4011,8980.0,1602189702487.86
14950,1,3,17231.42580363894,17424.0,1602189702564.168,8981.0,1602189702554.7388
14951,1,3,17231.4583885832,17425.0,1602189702598.1272,8981.0,1602189702554.7388
14952,1,3,17231.490168026365,17426.0,1602189702630.9448,8982.0,1602189702621.71
14953,1,3,17231.524117772482,17427.0,1602189702664.8064,8982.0,1602189702621.71
14954,1,3,17231.55746761778,17428.0,1602189702697.5977,8983.0,1602189702688.7117
14955,1,3,17231.58986456178,17429.0,1602189702730.965,8983.0,1602189702688.7117
14956,1,3,17231.626355011347,17430.0,1602189702764.944,8984.0,1602189702755.672
14957,1,3,17231.65815435454,17431.0,1602189702797.6355,8984.0,1602189702755.672
14958,1,3,17231.690302598206,17432.0,1602189702831.5305,8985.0,1602189702822.5537
14959,1,3,17231.72449694465,17433.0,1602189702865.013,8985.0,1602189702822.5537
14960,1,3,17231.7576641897,17434.0,1602189702897.636,8986.0,1602189702889.5735
14961,1,3,17231.791466235612,17435.0,1602189702931.6665,8986.0,1602189702889.5735
14962,1,3,17231.82506188125,17436.0,1602189702964.3494,8987.0,1602189702956.7236
14963,1,3,17231.85713572481,17437.0,1602189702998.0571,8987.0,1602189702956.7236
14964,1,3,17231.891878972005,17438.0,1602189703031.0088,8988.0,1602189703023.432
14965,1,3,17231.92439601617,17439.0,1602189703064.891,8988.0,1602189703023.432
14966,1,3,17231.957889561665,17440.0,1602189703097.7373,8989.0,1602189703090.5708
14967,1,3,17231.99154750738,17441.0,1602189703131.0625,8989.0,1602189703090.5708
14968,1,3,17232.023650150986,17442.0,1602189703164.923,8990.0,1602189703157.339
14969,1,3,17232.05804979771,17443.0,1602189703198.212,8990.0,1602189703157.339
14970,1,3,17232.09140754302,17444.0,1602189703231.683,8991.0,1602189703224.3943
14971,1,3,17232.123718986906,17445.0,1602189703264.401,8991.0,1602189703224.3943
14972,1,3,17232.15839803401,17446.0,1602189703297.7617,8992.0,1602189703291.3264
14973,1,3,17232.18995997688,17447.0,1602189703331.0981,8992.0,1602189703291.3264
14974,1,3,17232.22571022544,17448.0,1602189703364.4265,8993.0,1602189703358.252
14975,1,3,17232.258419269867,17449.0,1602189703397.7969,8993.0,1602189703358.252
14976,1,3,17232.29097501409,17450.0,1602189703431.993,8994.0,1602189703425.4277
14977,1,3,17232.325457060924,17451.0,1602189703465.1265,8994.0,1602189703425.4277
14978,1,3,17232.357916405017,17452.0,1602189703497.8481,8995.0,1602189703492.2021
14979,1,3,17232.390219948895,17453.0,1602189703531.554,8995.0,1602189703492.2021
14980,1,3,17232.425487396795,17454.0,1602189703565.5093,8996.0,1602189703559.0867
14981,1,3,17232.45708163971,17455.0,1602189703598.2502,8996.0,1602189703559.0867
14982,1,3,17232.491366586277,17456.0,1602189703631.2612,8997.0,1602189703626.0771
14983,1,3,17232.524755631628,17457.0,1602189703664.6152,8997.0,1602189703626.0771
14984,1,3,17232.557131275604,17458.0,1602189703698.315,8998.0,1602189703693.032
14985,1,3,17232.591307022027,17459.0,1602189703731.7395,8998.0,1602189703693.032
14986,1,3,17232.62440256698,17460.0,1602189703764.678,8999.0,1602189703760.0415
14987,1,3,17232.65676541094,17461.0,1602189703797.89,8999.0,1602189703760.0415
14988,1,3,17232.690696257025,17462.0,1602189703831.1697,9000.0,1602189703826.9863
14989,1,3,17232.724186402513,17463.0,1602189703864.9478,9000.0,1602189703826.9863
14990,1,3,17232.757098147216,17464.0,1602189703897.9043,9001.0,1602189703893.782
14991,1,3,17232.79000979192,17465.0,1602189703931.582,9001.0,1602189703893.782
14992,1,3,17232.82410503823,17466.0,1602189703964.9033,9002.0,1602189703960.7244
14993,1,3,17232.857370283415,17467.0,1602189703998.2317,9002.0,1602189703960.7244
14994,1,3,17232.890463428364,17468.0,1602189704031.1292,9003.0,1602189704027.713
14995,1,3,17232.92349277323,17469.0,1602189704064.9912,9003.0,1602189704027.713
14996,1,3,17232.956738418383,17470.0,1602189704098.3235,9004.0,1602189704094.6963
14997,1,3,17232.991017264947,17471.0,1602189704131.1528,9004.0,1602189704094.6963
14998,1,3,17233.02446651038,17472.0,1602189704164.5488,9005.0,1602189704161.8184
14999,1,3,17233.05817405616,17473.0,1602189704197.891,9005.0,1602189704161.8184
15000,1,3,17233.090913000633,17474.0,1602189704231.6455,9006.0,1602189704228.5383
15001,1,3,17233.124885146775,17475.0,1602189704264.986,9006.0,1602189704228.5383
15002,1,3,17233.156473489682,17476.0,1602189704298.0237,9007.0,1602189704295.5017
15003,1,3,17233.190711936186,17477.0,1602189704331.5857,9007.0,1602189704295.5017
15004,1,3,17233.223943081324,17478.0,1602189704365.129,9008.0,1602189704362.5718
15005,1,3,17233.25689222608,17479.0,1602189704397.918,9008.0,1602189704362.5718
15006,1,3,17233.290597971863,17480.0,1602189704431.618,9009.0,1602189704429.4236
15007,1,3,17233.323935317145,17481.0,1602189704464.641,9009.0,1602189704429.4236
15008,1,3,17233.357547762796,17482.0,1602189704498.2988,9010.0,1602189704496.3896
15009,1,3,17233.391003708242,17483.0,1602189704531.3774,9010.0,1602189704496.3896
15010,1,3,17233.424650753943,17484.0,1602189704564.8318,9011.0,1602189704563.5588
15011,1,3,17233.457238198207,17485.0,1602189704597.96,9011.0,1602189704563.5588
15012,1,3,17233.492473046063,17486.0,1602189704631.889,9012.0,1602189704630.3928
15013,1,3,17233.52395598883,17487.0,1602189704664.6626,9012.0,1602189704630.3928
15014,1,3,17233.558012635083,17488.0,1602189704698.365,9013.0,1602189704697.3164
15015,1,3,17233.590970179852,17489.0,1602189704731.9402,9013.0,1602189704697.3164
15016,1,3,17233.625148726278,17490.0,1602189704765.1003,9014.0,1602189704764.5708
15017,1,3,17233.658149371102,17491.0,1602189704798.5269,9014.0,1602189704764.5708
