,session,participant,time,device_ts,system_ts,left_x,left_y,left_pupil,right_x,right_y,right_pupil
150,3,2,82759.10941860618,83512390000.0,74324210000.0,,,,,,
151,3,2,82759.12609069543,83512420000.0,74324230000.0,,,,,,
152,3,2,82759.14276278466,83512435000.0,74324250000.0,,,,,,
153,3,2,82759.15943487389,83512450000.0,74324260000.0,,,,,,
154,3,2,82759.17610696312,83512470000.0,74324280000.0,,,,,,
155,3,2,82759.19277905235,83512480000.0,74324296000.0,,,,,,
156,3,2,82759.20945114159,83512500000.0,74324310000.0,,,,,,
157,3,2,82759.22612323082,83512520000.0,74324330000.0,,,,,,
158,3,2,82759.24279532005,83512530000.0,74324345000.0,,,,,,
159,3,2,82759.25946740928,83512550000.0,74324360000.0,,,,,,
160,3,2,82759.27613949851,83512566000.0,74324380000.0,,,,,,
161,3,2,82759.29281158776,83512580000.0,74324390000.0,,,,,,
162,3,2,82759.30948367699,83512600000.0,74324410000.0,,,,,,
163,3,2,82759.32615576622,83512615000.0,74324430000.0,,,,,,
164,3,2,82759.34282785545,83512630000.0,74324440000.0,,,,,,
165,3,2,82759.35949994468,83512650000.0,74324460000.0,,,,,,
166,3,2,82759.37617203392,83512660000.0,74324480000.0,,,,,,
167,3,2,82759.39284412315,83512680000.0,74324490000.0,,,,,,
168,3,2,82759.40951621238,83512700000.0,74324510000.0,,,,,,
169,3,2,82759.42618830162,83512710000.0,74324525000.0,,,,,,
170,3,2,82759.44286039085,83512730000.0,74324540000.0,,,,,,
171,3,2,82759.45953248009,83512750000.0,74324560000.0,,,,,,
172,3,2,82759.47620456932,83512760000.0,74324574000.0,,,,,,
173,3,2,82759.49287665855,83512780000.0,74324590000.0,,,,,,
174,3,2,82759.50954874778,83512795000.0,74324610000.0,,,,,,
175,3,2,82759.52622083701,83512810000.0,74324620000.0,,,,,,
176,3,2,82759.54289292626,83512830000.0,74324640000.0,,,,,,
177,3,2,82759.55956501549,83512844000.0,74324660000.0,,,,,,
178,3,2,82759.57623710472,83512860000.0,74324670000.0,,,,,,
179,3,2,82759.59290919395,83512880000.0,74324690000.0,,,,,,
180,3,2,82759.60958128318,83512890000.0,74324710000.0,,,,,,
181,3,2,82759.62625337242,83512910000.0,74324730000.0,,,,,,
182,3,2,82759.64292546165,83512934000.0,74324750000.0,,,,,,
183,3,2,82759.65959755088,83512950000.0,74324760000.0,,,,,,
184,3,2,82759.67626964011,83512970000.0,74324780000.0,,,,,,
185,3,2,82759.69294172934,83512980000.0,74324795000.0,,,,,,
186,3,2,82759.70961381859,83513000000.0,74324810000.0,,,,,,
187,3,2,82759.72628590782,83513020000.0,74324830000.0,,,,,,
188,3,2,82759.74295799705,83513030000.0,74324845000.0,,,,,,
189,3,2,82759.75963008628,83513050000.0,74324860000.0,,,,,,
190,3,2,82759.77630217551,83513065000.0,74324880000.0,,,,,,
191,3,2,82759.79297426475,83513080000.0,74324890000.0,,,,,,
192,3,2,82759.80964635398,83513100000.0,74324910000.0,,,,,,
193,3,2,82759.82631844321,83513115000.0,74324930000.0,,,,,,
194,3,2,82759.84299053244,83513130000.0,74324940000.0,,,,,,
195,3,2,82759.85966262167,83513150000.0,74324960000.0,,,,,,
196,3,2,82759.8763347109,83513160000.0,74324976000.0,,,,,,
197,3,2,82759.89300680015,83513180000.0,74324990000.0,,,,,,
198,3,2,82759.90967888938,83513200000.0,74325010000.0,,,,,,
199,3,2,82759.92635097861,83513210000.0,74325025000.0,,,,,,
200,3,2,82759.94302306784,83513230000.0,74325040000.0,,,,,,
201,3,2,82759.95969515707,83513246000.0,74325060000.0,,,,,,
202,3,2,82759.97636724632,83513260000.0,74325070000.0,,,,,,
203,3,2,82759.99303933555,83513280000.0,74325090000.0,,,,,,
204,3,2,82760.00971142478,83513295000.0,74325110000.0,,,,,,
205,3,2,82760.026383514,83513310000.0,74325120000.0,,,,,,
206,3,2,82760.04305560324,83513330000.0,74325140000.0,,,,,,
207,3,2,82760.05972769248,83513340000.0,74325156000.0,,,,,,
208,3,2,82760.07639978171,83513360000.0,74325170000.0,,,,,,
209,3,2,82760.09307187094,83513380000.0,74325190000.0,,,,,,
210,3,2,82760.10974396017,83513390000.0,74325205000.0,,,,,,
211,3,2,82760.1264160494,83513410000.0,74325230000.0,,,,,,
212,3,2,82760.14308813865,83513434000.0,74325250000.0,,,,,,
213,3,2,82760.15976022788,83513450000.0,74325260000.0,,,,,,
214,3,2,82760.17643231711,83513470000.0,74325280000.0,,,,,,
215,3,2,82760.19310440634,83513480000.0,74325295000.0,,,,,,
216,3,2,82760.20977649557,83513500000.0,74325310000.0,,,,,,
217,3,2,82760.22644858481,83513520000.0,74325330000.0,,,,,,
218,3,2,82760.24312067404,83513530000.0,74325344000.0,,,,,,
219,3,2,82760.25979276327,83513550000.0,74325360000.0,,,,,,
220,3,2,82760.2764648525,83513565000.0,74325380000.0,,,,,,
221,3,2,82760.29313694173,83513580000.0,74325390000.0,,,,,,
222,3,2,82760.30980903098,83513600000.0,74325410000.0,,,,,,
223,3,2,82760.32648112021,83513614000.0,74325430000.0,,,,,,
224,3,2,82760.34315320944,83513630000.0,74325440000.0,,,,,,
225,3,2,82760.35982529867,83513650000.0,74325460000.0,,,,,,
226,3,2,82760.3764973879,83513660000.0,74325475000.0,,,,,,
227,3,2,82760.39316947715,83513680000.0,74325490000.0,,,,,,
228,3,2,82760.40984156638,83513700000.0,74325510000.0,,,,,,
229,3,2,82760.4265136556,83513710000.0,74325524000.0,,,,,,
230,3,2,82760.44318574484,83513730000.0,74325540000.0,,,,,,
231,3,2,82760.45985783407,83513745000.0,74325560000.0,,,,,,
232,3,2,82760.47652992331,83513760000.0,74325570000.0,,,,,,
233,3,2,82760.49320201254,83513780000.0,74325590000.0,,,,,,
234,3,2,82760.50987410177,83513795000.0,74325610000.0,,,,,,
235,3,2,82760.526546191,83513810000.0,74325620000.0,,,,,,
236,3,2,82760.54321828023,83513830000.0,74325640000.0,,,,,,
237,3,2,82760.55989036948,83513840000.0,74325656000.0,,,,,,
238,3,2,82760.57656245871,83513860000.0,74325670000.0,,,,,,
239,3,2,82760.59323454794,83513880000.0,74325690000.0,,,,,,
240,3,2,82760.60990663717,83513890000.0,74325705000.0,,,,,,
241,3,2,82760.6265787264,83513910000.0,74325730000.0,,,,,,
242,3,2,82760.64325081564,83513930000.0,74325746000.0,,,,,,
243,3,2,82760.65992290487,83513950000.0,74325760000.0,,,,,,
244,3,2,82760.6765949941,83513970000.0,74325780000.0,,,,,,
245,3,2,82760.69326708333,83513980000.0,74325795000.0,,,,,,
246,3,2,82760.70993917256,83514000000.0,74325810000.0,,,,,,
247,3,2,82760.72661126181,83514016000.0,74325830000.0,,,,,,
248,3,2,82760.74328335104,83514030000.0,74325840000.0,,,,,,
249,3,2,82760.75995544027,83514050000.0,74325860000.0,,,,,,
250,3,2,82760.7766275295,83514065000.0,74325880000.0,,,,,,
251,3,2,82760.79329961873,83514080000.0,74325890000.0,,,,,,
252,3,2,82760.80997170796,83514100000.0,74325910000.0,,,,,,
253,3,2,82760.8266437972,83514110000.0,74325926000.0,,,,,,
254,3,2,82760.84331588644,83514130000.0,74325940000.0,,,,,,
255,3,2,82760.85998797567,83514150000.0,74325960000.0,,,,,,
256,3,2,82760.8766600649,83514160000.0,74325975000.0,,,,,,
257,3,2,82760.89333215413,83514180000.0,74325990000.0,,,,,,
258,3,2,82760.91000424337,83514200000.0,74326010000.0,,,,,,
259,3,2,82760.9266763326,83514210000.0,74326024000.0,,,,,,
260,3,2,82760.94334842183,83514230000.0,74326040000.0,,,,,,
261,3,2,82760.96002051106,83514245000.0,74326060000.0,,,,,,
262,3,2,82760.97669260029,83514260000.0,74326070000.0,,,,,,
263,3,2,82760.99336468954,83514280000.0,74326090000.0,,,,,,
264,3,2,82761.01003677877,83514294000.0,74326110000.0,,,,,,
265,3,2,82761.026708868,83514310000.0,74326120000.0,,,,,,
266,3,2,82761.04338095723,83514330000.0,74326140000.0,,,,,,
267,3,2,82761.06005304646,83514340000.0,74326155000.0,,,,,,
268,3,2,82761.0767251357,83514360000.0,74326170000.0,,,,,,
269,3,2,82761.09339722493,83514380000.0,74326190000.0,,,,,,
270,3,2,82761.11006931416,83514390000.0,74326204000.0,,,,,,
271,3,2,82761.1267414034,83514410000.0,74326230000.0,,,,,,
272,3,2,82761.14341349262,83514430000.0,74326245000.0,,,,,,
273,3,2,82761.16008558187,83514450000.0,74326260000.0,,,,,,
274,3,2,82761.1767576711,83514470000.0,74326280000.0,,,,,,
275,3,2,82761.19342976033,83514480000.0,74326295000.0,,,,,,
276,3,2,82761.21010184956,83514500000.0,74326310000.0,,,,,,
277,3,2,82761.22677393879,83514515000.0,74326330000.0,,,,,,
278,3,2,82761.24344602803,83514530000.0,74326340000.0,,,,,,
279,3,2,82761.26011811726,83514550000.0,74326360000.0,,,,,,
280,3,2,82761.2767902065,83514565000.0,74326380000.0,,,,,,
281,3,2,82761.29346229573,83514580000.0,74326390000.0,,,,,,
282,3,2,82761.31013438496,83514600000.0,74326410000.0,,,,,,
283,3,2,82761.3268064742,83514610000.0,74326426000.0,,,,,,
284,3,2,82761.34347856343,83514630000.0,74326440000.0,,,,,,
285,3,2,82761.36015065266,83514650000.0,74326460000.0,,,,,,
286,3,2,82761.37682274189,83514660000.0,74326475000.0,,,,,,
287,3,2,82761.39349483112,83514680000.0,74326490000.0,,,,,,
288,3,2,82761.41016692037,83514696000.0,74326510000.0,,,,,,
289,3,2,82761.4268390096,83514710000.0,74326520000.0,,,,,,
290,3,2,82761.44351109883,83514730000.0,74326540000.0,,,,,,
291,3,2,82761.46018318806,83514745000.0,74326560000.0,,,,,,
292,3,2,82761.47685527729,83514760000.0,74326570000.0,,,,,,
293,3,2,82761.49352736653,83514780000.0,74326590000.0,,,,,,
294,3,2,82761.51019945576,83514790000.0,74326606000.0,,,,,,
295,3,2,82761.526871545,83514810000.0,74326620000.0,,,,,,
296,3,2,82761.54354363422,83514830000.0,74326640000.0,,,,,,
297,3,2,82761.56021572345,83514840000.0,74326655000.0,,,,,,
298,3,2,82761.5768878127,83514860000.0,74326670000.0,,,,,,
299,3,2,82761.59355990193,83514876000.0,74326690000.0,,,,,,
300,3,2,82761.61023199116,83514890000.0,74326704000.0,,,,,,
301,3,2,82761.62690408039,83514910000.0,74326720000.0,,,,,,
302,3,2,82761.64357616962,83514925000.0,74326745000.0,,,,,,
303,3,2,82761.66024825886,83514950000.0,74326760000.0,,,,,,
304,3,2,82761.6769203481,83514970000.0,74326780000.0,,,,,,
305,3,2,82761.69359243732,83514980000.0,74326794000.0,,,,,,
306,3,2,82761.71026452655,83515000000.0,74326810000.0,,,,,,
307,3,2,82761.72693661579,83515030000.0,74326840000.0,,,,,,
308,3,2,82761.74360870502,83515050000.0,74326860000.0,,,,,,
309,3,2,82761.76028079426,83515064000.0,74326880000.0,,,,,,
310,3,2,82761.77695288349,83515080000.0,74326890000.0,,,,,,
311,3,2,82761.79362497272,83515100000.0,74326910000.0,,,,,,
312,3,2,82761.81029706195,83515110000.0,74326925000.0,,,,,,
313,3,2,82761.82696915118,83515130000.0,74326940000.0,,,,,,
314,3,2,82761.84364124043,83515150000.0,74326960000.0,,,,,,
315,3,2,82761.86031332966,83515160000.0,74326974000.0,,,,,,
316,3,2,82761.87698541889,83515195000.0,74327010000.0,,,,,,
317,3,2,82761.89365750812,83515210000.0,74327020000.0,,,,,,
318,3,2,82761.91032959735,83515230000.0,74327040000.0,,,,,,
319,3,2,82761.92700168659,83515245000.0,74327060000.0,,,,,,
320,3,2,82761.94367377582,83515260000.0,74327070000.0,,,,,,
321,3,2,82761.96034586505,83515280000.0,74327090000.0,,,,,,
322,3,2,82761.97701795428,83515290000.0,74327106000.0,,,,,,
323,3,2,82761.99369004351,83515310000.0,74327120000.0,,,,,,
324,3,2,82762.01036213276,83515330000.0,74327140000.0,,,,,,
325,3,2,82762.02703422199,83515340000.0,74327155000.0,,,,,,
326,3,2,82762.04370631122,83515360000.0,74327170000.0,,,,,,
327,3,2,82762.06037840045,83515376000.0,74327190000.0,,,,,,
328,3,2,82762.07705048968,83515390000.0,74327200000.0,,,,,,
329,3,2,82762.09372257892,83515410000.0,74327220000.0,,,,,,
330,3,2,82762.11039466815,83515425000.0,74327240000.0,,,,,,
331,3,2,82762.12706675738,83515440000.0,74327250000.0,,,,,,
332,3,2,82762.14373884661,83515460000.0,74327270000.0,,,,,,
333,3,2,82762.16041093584,83515470000.0,74327286000.0,,,,,,
334,3,2,82762.17708302509,83515490000.0,74327300000.0,,,,,,
335,3,2,82762.19375511432,83515510000.0,74327330000.0,,,,,,
336,3,2,82762.21042720355,83515530000.0,74327340000.0,,,,,,
337,3,2,82762.22709929278,83515550000.0,74327360000.0,,,,,,
338,3,2,82762.24377138201,83515580000.0,74327390000.0,,,,,,
339,3,2,82762.26044347126,83515600000.0,74327410000.0,,,,,,
340,3,2,82762.27711556049,83515610000.0,74327425000.0,,,,,,
341,3,2,82762.29378764972,83515630000.0,74327440000.0,,,,,,
342,3,2,82762.31045973895,83515650000.0,74327460000.0,,,,,,
343,3,2,82762.32713182818,83515660000.0,74327474000.0,,,,,,
344,3,2,82762.34380391742,83515680000.0,74327490000.0,,,,,,
345,3,2,82762.36047600665,83515695000.0,74327510000.0,,,,,,
346,3,2,82762.37714809588,83515710000.0,74327520000.0,,,,,,
347,3,2,82762.39382018511,83515744000.0,74327560000.0,,,,,,
348,3,2,82762.41049227434,83515760000.0,74327570000.0,,,,,,
349,3,2,82762.42716436359,83515780000.0,74327590000.0,,,,,,
350,3,2,82762.44383645282,83515790000.0,74327605000.0,,,,,,
351,3,2,82762.46050854205,83515810000.0,74327620000.0,,,,,,
352,3,2,82762.47718063128,83515830000.0,74327640000.0,,,,,,
353,3,2,82762.49385272051,83515840000.0,74327654000.0,,,,,,
354,3,2,82762.51052480975,83515860000.0,74327670000.0,,,,,,
355,3,2,82762.52719689898,83515875000.0,74327690000.0,,,,,,
356,3,2,82762.54386898821,83515890000.0,74327700000.0,,,,,,
357,3,2,82762.56054107744,83515910000.0,74327720000.0,,,,,,
358,3,2,82762.57721316667,83515924000.0,74327740000.0,,,,,,
359,3,2,82762.59388525592,83515940000.0,74327750000.0,,,,,,
360,3,2,82762.61055734515,83515960000.0,74327770000.0,,,,,,
361,3,2,82762.62722943438,83515970000.0,74327785000.0,,,,,,
362,3,2,82762.64390152361,83515990000.0,74327800000.0,,,,,,
363,3,2,82762.66057361284,83516010000.0,74327820000.0,,,,,,
