,AnnotationTimestamp,VideoTime,arousal,session,participant,time
140,1602257065026,473275,10,3,3,83242.06743385184
141,1602257069730,477981,11,3,3,83246.77343385185
142,1602257069785,478023,12,3,3,83246.81543385185
143,1602257069806,478075,13,3,3,83246.86743385185
144,1602257071132,479359,15,3,3,83248.15143385185
145,1602257071156,479407,16,3,3,83248.19943385186
146,1602257071215,479449,17,3,3,83248.24143385184
147,1602257079214,487466,15,3,3,83256.25843385185
148,1602257079254,487507,14,3,3,83256.29943385185
149,1602257080018,488255,13,3,3,83257.04743385185
150,1602257080062,488302,12,3,3,83257.09443385185
151,1602257080098,488349,11,3,3,83257.14143385185
152,1602257088188,496444,10,3,3,83265.23643385185
153,1602257089389,497631,11,3,3,83266.42343385184
154,1602257089430,497678,12,3,3,83266.47043385185
155,1602257089464,497723,13,3,3,83266.51543385185
156,1602257091328,499586,12,3,3,83268.37843385185
157,1602257091384,499634,11,3,3,83268.42643385186
158,1602257091541,499778,12,3,3,83268.57043385186
159,1602257091598,499826,13,3,3,83268.61843385185
160,1602257091619,499874,14,3,3,83268.66643385185
161,1602257091660,499922,15,3,3,83268.71443385186
162,1602257091718,499969,16,3,3,83268.76143385185
163,1602257092089,500350,17,3,3,83269.14243385186
164,1602257092148,500397,20,3,3,83269.18943385185
165,1602257092193,500442,21,3,3,83269.23443385185
166,1602257092348,500586,22,3,3,83269.37843385185
167,1602257092898,501146,23,3,3,83269.93843385184
168,1602257092930,501192,24,3,3,83269.98443385185
169,1602257093581,501810,25,3,3,83270.60243385185
170,1602257094915,503144,24,3,3,83271.93643385185
171,1602257096665,504902,23,3,3,83273.69443385185
172,1602257096715,504949,22,3,3,83273.74143385184
173,1602257100683,508924,23,3,3,83277.71643385185
174,1602257100755,509020,24,3,3,83277.81243385185
175,1602257101603,509868,25,3,3,83278.66043385185
176,1602257101657,509911,26,3,3,83278.70343385184
177,1602257101697,509953,27,3,3,83278.74543385184
178,1602257101730,509994,28,3,3,83278.78643385186
179,1602257103148,511405,27,3,3,83280.19743385185
180,1602257103231,511499,26,3,3,83280.29143385185
181,1602257106381,514618,27,3,3,83283.41043385185
182,1602257106431,514666,28,3,3,83283.45843385185
183,1602257106481,514714,29,3,3,83283.50643385186
184,1602257106839,515092,30,3,3,83283.88443385185
185,1602257106864,515136,32,3,3,83283.92843385185
186,1602257106948,515181,35,3,3,83283.97343385185
187,1602257115619,523883,36,3,3,83292.67543385185
188,1602257115664,523931,38,3,3,83292.72343385185
189,1602257115714,523976,39,3,3,83292.76843385184
190,1602257115758,524025,40,3,3,83292.81743385184
191,1602257120124,528366,39,3,3,83297.15843385184
192,1602257120146,528411,38,3,3,83297.20343385184
193,1602257120202,528453,37,3,3,83297.24543385184
194,1602257120246,528506,36,3,3,83297.29843385184
195,1602257132888,541160,35,3,3,83309.95243385185
196,1602257132963,541203,33,3,3,83309.99543385184
197,1602257143297,551543,35,3,3,83320.33543385185
198,1602257143341,551591,36,3,3,83320.38343385185
199,1602257143902,552158,37,3,3,83320.95043385185
200,1602257143947,552206,39,3,3,83320.99843385186
201,1602257148651,556903,40,3,3,83325.69543385186
202,1602257148695,556946,41,3,3,83325.73843385185
203,1602257148729,556989,43,3,3,83325.78143385185
204,1602257149197,557455,45,3,3,83326.24743385185
205,1602257149238,557502,48,3,3,83326.29443385184
206,1602257149280,557545,49,3,3,83326.33743385185
207,1602257149362,557587,50,3,3,83326.37943385185
208,1602257149597,557827,51,3,3,83326.61943385185
209,1602257159430,567686,50,3,3,83336.47843385185
210,1602257159479,567733,46,3,3,83336.52543385184
211,1602257164031,572257,45,3,3,83341.04943385185
212,1602257164130,572397,44,3,3,83341.18943385185
213,1602257166049,574274,45,3,3,83343.06643385185
214,1602257166096,574368,46,3,3,83343.16043385185
215,1602257166146,574415,47,3,3,83343.20743385184
216,1602257166246,574503,48,3,3,83343.29543385185
217,1602257166514,574741,47,3,3,83343.53343385184
218,1602257166597,574834,46,3,3,83343.62643385185
219,1602257166618,574881,45,3,3,83343.67343385184
220,1602257166663,574925,43,3,3,83343.71743385185
221,1602257166730,574969,42,3,3,83343.76143385185
222,1602257168414,576669,44,3,3,83345.46143385184
223,1602257168452,576715,47,3,3,83345.50743385185
224,1602257168496,576760,48,3,3,83345.55243385184
225,1602257168746,576998,49,3,3,83345.79043385186
226,1602257168788,577043,52,3,3,83345.83543385185
227,1602257168827,577092,54,3,3,83345.88443385185
228,1602257173446,581708,51,3,3,83350.50043385185
229,1602257173493,581756,49,3,3,83350.54843385184
230,1602257173780,582038,47,3,3,83350.83043385185
231,1602257173827,582086,42,3,3,83350.87843385185
232,1602257174112,582368,37,3,3,83351.16043385185
233,1602257174161,582409,35,3,3,83351.20143385185
234,1602257174408,582654,34,3,3,83351.44643385184
235,1602257174446,582701,28,3,3,83351.49343385185
236,1602257174696,582933,26,3,3,83351.72543385185
237,1602257174719,582980,22,3,3,83351.77243385185
238,1602257174780,583026,20,3,3,83351.81843385185
239,1602257174892,583120,21,3,3,83351.91243385184
240,1602257174929,583164,23,3,3,83351.95643385185
241,1602257175013,583261,22,3,3,83352.05343385185
242,1602257175037,583309,18,3,3,83352.10143385184
243,1602257175101,583353,17,3,3,83352.14543385185
244,1602257189129,597368,19,3,3,83366.16043385185
245,1602257189152,597415,20,3,3,83366.20743385184
246,1602257189212,597461,22,3,3,83366.25343385185
247,1602257206528,614789,23,3,3,83383.58143385185
248,1602257206575,614837,24,3,3,83383.62943385185
249,1602257206612,614883,25,3,3,83383.67543385185
250,1602257206660,614930,26,3,3,83383.72243385184
251,1602257219026,627259,27,3,3,83396.05143385186
252,1602257219108,627354,28,3,3,83396.14643385186
253,1602257219145,627402,29,3,3,83396.19443385185
254,1602257219194,627443,30,3,3,83396.23543385185
255,1602257219228,627492,31,3,3,83396.28443385185
256,1602257219275,627544,32,3,3,83396.33643385184
257,1602257230986,639255,33,3,3,83408.04743385185
258,1602257231294,639537,32,3,3,83408.32943385185
259,1602257244569,652823,31,3,3,83421.61543385185
260,1602257244611,652869,29,3,3,83421.66143385186
261,1602257244679,652910,27,3,3,83421.70243385185
262,1602257244705,652951,26,3,3,83421.74343385185
263,1602257245711,653979,25,3,3,83422.77143385186
264,1602257245772,654025,22,3,3,83422.81743385184
265,1602257245811,654071,21,3,3,83422.86343385185
266,1602257245877,654111,20,3,3,83422.90343385185
267,1602257263470,671694,21,3,3,83440.48643385185
268,1602257263511,671742,26,3,3,83440.53443385185
269,1602257263538,671784,27,3,3,83440.57643385185
270,1602257263927,672169,28,3,3,83440.96143385184
271,1602257263961,672216,31,3,3,83441.00843385185
272,1602257264011,672259,33,3,3,83441.05143385186
273,1602257264044,672309,34,3,3,83441.10143385184
274,1602257285019,693277,35,3,3,83462.06943385185
275,1602257285060,693319,38,3,3,83462.11143385185
276,1602257285786,694051,37,3,3,83462.84343385186
277,1602257285826,694095,34,3,3,83462.88743385185
278,1602257285893,694142,33,3,3,83462.93443385186
279,1602257293686,701923,34,3,3,83470.71543385184
280,1602257293727,701970,35,3,3,83470.76243385185
281,1602257293753,702017,36,3,3,83470.80943385186
