,session,participant,time,frame_time,frame_num,frame_dtime
11950,1,4,1907.468167140201,1602266736.47,12725.0,0.03333333134651184
11951,1,4,1907.5015008492182,1602266736.503,12726.0,0.03333333134651184
11952,1,4,1907.5348345582354,1602266736.537,12727.0,0.03333333134651184
11953,1,4,1907.5681682672525,1602266736.57,12728.0,0.03333333134651184
11954,1,4,1907.6015019762697,1602266736.603,12729.0,0.03333333134651184
11955,1,4,1907.6348356852868,1602266736.636,12730.0,0.03333333134651184
11956,1,4,1907.668169394304,1602266736.67,12731.0,0.03333333134651184
11957,1,4,1907.701503103321,1602266736.703,12732.0,0.03333333134651184
11958,1,4,1907.7348368123382,1602266736.736,12733.0,0.03333333134651184
11959,1,4,1907.7681705213554,1602266736.77,12734.0,0.03333333134651184
11960,1,4,1907.8015042303725,1602266736.803,12735.0,0.03333333134651184
11961,1,4,1907.8348379393897,1602266736.836,12736.0,0.03333333134651184
11962,1,4,1907.8681716484068,1602266736.87,12737.0,0.03333333134651184
11963,1,4,1907.901505357424,1602266736.903,12738.0,0.03333333134651184
11964,1,4,1907.934839066441,1602266736.937,12739.0,0.03333333134651184
11965,1,4,1907.9681727754582,1602266736.97,12740.0,0.03333333134651184
11966,1,4,1908.0015064844754,1602266737.003,12741.0,0.03333333134651184
11967,1,4,1908.0348401934925,1602266737.036,12742.0,0.03333333134651184
11968,1,4,1908.0681739025094,1602266737.07,12743.0,0.03333333134651184
11969,1,4,1908.1015076115268,1602266737.103,12744.0,0.03333333134651184
11970,1,4,1908.1348413205437,1602266737.136,12745.0,0.03333333134651184
11971,1,4,1908.168175029561,1602266737.17,12746.0,0.03333333134651184
11972,1,4,1908.201508738578,1602266737.203,12747.0,0.03333333134651184
11973,1,4,1908.2348424475954,1602266737.236,12748.0,0.03333333134651184
11974,1,4,1908.2681761566123,1602266737.27,12749.0,0.03333333134651184
11975,1,4,1908.3015098656297,1602266737.303,12750.0,0.03333333134651184
11976,1,4,1908.3348435746466,1602266737.336,12751.0,0.03333333134651184
11977,1,4,1908.3681772836637,1602266737.37,12752.0,0.03333333134651184
11978,1,4,1908.4015109926809,1602266737.403,12753.0,0.03333333134651184
11979,1,4,1908.434844701698,1602266737.437,12754.0,0.03333333134651184
11980,1,4,1908.4681784107152,1602266737.47,12755.0,0.03333333134651184
11981,1,4,1908.5015121197323,1602266737.503,12756.0,0.03333333134651184
11982,1,4,1908.5348458287494,1602266737.536,12757.0,0.03333333134651184
11983,1,4,1908.5681795377666,1602266737.57,12758.0,0.03333333134651184
11984,1,4,1908.6015132467837,1602266737.603,12759.0,0.03333333134651184
11985,1,4,1908.6348469558009,1602266737.636,12760.0,0.03333333134651184
11986,1,4,1908.668180664818,1602266737.67,12761.0,0.03333333134651184
11987,1,4,1908.7015143738352,1602266737.703,12762.0,0.03333333134651184
11988,1,4,1908.7348480828523,1602266737.737,12763.0,0.03333333134651184
11989,1,4,1908.7681817918694,1602266737.77,12764.0,0.03333333134651184
11990,1,4,1908.8015155008866,1602266737.803,12765.0,0.03333333134651184
11991,1,4,1908.8348492099037,1602266737.836,12766.0,0.03333333134651184
11992,1,4,1908.8681829189209,1602266737.87,12767.0,0.03333333134651184
11993,1,4,1908.901516627938,1602266737.903,12768.0,0.03333333134651184
11994,1,4,1908.9348503369552,1602266737.936,12769.0,0.03333333134651184
11995,1,4,1908.9681840459723,1602266737.97,12770.0,0.03333333134651184
11996,1,4,1909.0015177549894,1602266738.003,12771.0,0.03333333134651184
11997,1,4,1909.0348514640066,1602266738.036,12772.0,0.03333333134651184
11998,1,4,1909.0681851730237,1602266738.07,12773.0,0.03333333134651184
11999,1,4,1909.1015188820409,1602266738.103,12774.0,0.03333333134651184
12000,1,4,1909.134852591058,1602266738.136,12775.0,0.03333333134651184
12001,1,4,1909.168186300075,1602266738.17,12776.0,0.03333333134651184
12002,1,4,1909.2015200090923,1602266738.203,12777.0,0.03333333134651184
12003,1,4,1909.2348537181092,1602266738.236,12778.0,0.03333333134651184
12004,1,4,1909.2681874271266,1602266738.27,12779.0,0.03333333134651184
12005,1,4,1909.3015211361435,1602266738.303,12780.0,0.03333333134651184
12006,1,4,1909.3348548451609,1602266738.336,12781.0,0.03333333134651184
12007,1,4,1909.3681885541778,1602266738.37,12782.0,0.03333333134651184
12008,1,4,1909.4015222631951,1602266738.403,12783.0,0.03333333134651184
12009,1,4,1909.434855972212,1602266738.436,12784.0,0.03333333134651184
12010,1,4,1909.4681896812292,1602266738.47,12785.0,0.03333333134651184
12011,1,4,1909.5015233902463,1602266738.503,12786.0,0.03333333134651184
12012,1,4,1909.5348570992635,1602266738.536,12787.0,0.03333333134651184
12013,1,4,1909.5681908082806,1602266738.57,12788.0,0.03333333134651184
12014,1,4,1909.6015245172978,1602266738.603,12789.0,0.03333333134651184
12015,1,4,1909.634858226315,1602266738.636,12790.0,0.03333333134651184
12016,1,4,1909.668191935332,1602266738.67,12791.0,0.03333333134651184
12017,1,4,1909.7015256443492,1602266738.703,12792.0,0.03333333134651184
12018,1,4,1909.7348593533663,1602266738.736,12793.0,0.03333333134651184
12019,1,4,1909.7681930623835,1602266738.77,12794.0,0.03333333134651184
12020,1,4,1909.8015267714006,1602266738.803,12795.0,0.03333333134651184
12021,1,4,1909.8348604804178,1602266738.836,12796.0,0.03333333134651184
12022,1,4,1909.868194189435,1602266738.87,12797.0,0.03333333134651184
12023,1,4,1909.901527898452,1602266738.903,12798.0,0.03333333134651184
12024,1,4,1909.9348616074692,1602266738.936,12799.0,0.03333333134651184
12025,1,4,1909.9681953164863,1602266738.97,12800.0,0.03333333134651184
12026,1,4,1910.0015290255035,1602266739.003,12801.0,0.03333333134651184
