,session,participant,time,frame_time,frame_num,frame_dtime,screen_resolution_width,screen_resolution_height
29840,2,2,22933.122314658278,1602195409.434,0.0,0.03333333134651184,1920,1080
29841,2,2,22933.155648394644,1602195409.467,0.0,0.03333333134651184,1920,1080
29842,2,2,22933.18898213101,1602195409.501,0.0,0.03333333134651184,1920,1080
29843,2,2,22933.222315867377,1602195409.534,0.0,0.03333333134651184,1920,1080
29844,2,2,22933.255649603743,1602195409.567,0.0,0.03333333134651184,1920,1080
29845,2,2,22933.28898334011,1602195409.601,0.0,0.03333333134651184,1920,1080
29846,2,2,22933.322317076476,1602195409.634,0.0,0.03333333134651184,1920,1080
29847,2,2,22933.355650812842,1602195409.667,0.0,0.03333333134651184,1920,1080
29848,2,2,22933.388984549205,1602195409.701,0.0,0.03333333134651184,1920,1080
29849,2,2,22933.42231828557,1602195409.734,0.0,0.03333333134651184,1920,1080
29850,2,2,22933.455652021938,1602195409.767,0.0,0.03333333134651184,1920,1080
29851,2,2,22933.488985758304,1602195409.801,0.0,0.03333333134651184,1920,1080
29852,2,2,22933.52231949467,1602195409.834,0.0,0.03333333134651184,1920,1080
29853,2,2,22933.555653231037,1602195409.867,0.0,0.03333333134651184,1920,1080
29854,2,2,22933.588986967403,1602195409.901,0.0,0.03333333134651184,1920,1080
29855,2,2,22933.62232070377,1602195409.934,0.0,0.03333333134651184,1920,1080
29856,2,2,22933.655654440136,1602195409.967,0.0,0.03333333134651184,1920,1080
29857,2,2,22933.688988176502,1602195410.001,0.0,0.03333333134651184,1920,1080
29858,2,2,22933.72232191287,1602195410.034,0.0,0.03333333134651184,1920,1080
29859,2,2,22933.755655649235,1602195410.067,0.0,0.03333333134651184,1920,1080
29860,2,2,22933.788989385597,1602195410.101,0.0,0.03333333134651184,1920,1080
29861,2,2,22933.822323121964,1602195410.134,0.0,0.03333333134651184,1920,1080
29862,2,2,22933.85565685833,1602195410.167,0.0,0.03333333134651184,1920,1080
29863,2,2,22933.888990594696,1602195410.201,0.0,0.03333333134651184,1920,1080
29864,2,2,22933.922324331063,1602195410.234,0.0,0.03333333134651184,1920,1080
29865,2,2,22933.95565806743,1602195410.267,0.0,0.03333333134651184,1920,1080
29866,2,2,22933.988991803795,1602195410.301,0.0,0.03333333134651184,1920,1080
29867,2,2,22934.02232554016,1602195410.334,0.0,0.03333333134651184,1920,1080
29868,2,2,22934.055659276528,1602195410.367,0.0,0.03333333134651184,1920,1080
29869,2,2,22934.088993012894,1602195410.401,0.0,0.03333333134651184,1920,1080
29870,2,2,22934.12232674926,1602195410.434,0.0,0.03333333134651184,1920,1080
29871,2,2,22934.155660485627,1602195410.467,0.0,0.03333333134651184,1920,1080
29872,2,2,22934.188994221993,1602195410.501,0.0,0.03333333134651184,1920,1080
29873,2,2,22934.222327958356,1602195410.534,0.0,0.03333333134651184,1920,1080
29874,2,2,22934.255661694722,1602195410.567,0.0,0.03333333134651184,1920,1080
29875,2,2,22934.28899543109,1602195410.601,0.0,0.03333333134651184,1920,1080
29876,2,2,22934.322329167455,1602195410.634,0.0,0.03333333134651184,1920,1080
29877,2,2,22934.35566290382,1602195410.667,0.0,0.03333333134651184,1920,1080
29878,2,2,22934.388996640188,1602195410.701,0.0,0.03333333134651184,1920,1080
29879,2,2,22934.422330376554,1602195410.734,0.0,0.03333333134651184,1920,1080
29880,2,2,22934.45566411292,1602195410.767,0.0,0.03333333134651184,1920,1080
29881,2,2,22934.488997849287,1602195410.801,0.0,0.03333333134651184,1920,1080
29882,2,2,22934.522331585653,1602195410.834,0.0,0.03333333134651184,1920,1080
29883,2,2,22934.55566532202,1602195410.867,0.0,0.03333333134651184,1920,1080
29884,2,2,22934.588999058386,1602195410.901,0.0,0.03333333134651184,1920,1080
29885,2,2,22934.62233279475,1602195410.934,0.0,0.03333333134651184,1920,1080
29886,2,2,22934.655666531115,1602195410.967,0.0,0.03333333134651184,1920,1080
29887,2,2,22934.68900026748,1602195411.001,0.0,0.03333333134651184,1920,1080
29888,2,2,22934.722334003847,1602195411.034,0.0,0.03333333134651184,1920,1080
29889,2,2,22934.755667740214,1602195411.067,0.0,0.03333333134651184,1920,1080
29890,2,2,22934.78900147658,1602195411.101,0.0,0.03333333134651184,1920,1080
29891,2,2,22934.822335212946,1602195411.134,0.0,0.03333333134651184,1920,1080
29892,2,2,22934.855668949313,1602195411.167,0.0,0.03333333134651184,1920,1080
29893,2,2,22934.88900268568,1602195411.201,0.0,0.03333333134651184,1920,1080
29894,2,2,22934.922336422045,1602195411.234,0.0,0.03333333134651184,1920,1080
29895,2,2,22934.95567015841,1602195411.267,0.0,0.03333333134651184,1920,1080
29896,2,2,22934.989003894778,1602195411.301,0.0,0.03333333134651184,1920,1080
29897,2,2,22935.02233763114,1602195411.334,0.0,0.03333333134651184,1920,1080
29898,2,2,22935.055671367507,1602195411.367,0.0,0.03333333134651184,1920,1080
29899,2,2,22935.089005103873,1602195411.401,0.0,0.03333333134651184,1920,1080
29900,2,2,22935.12233884024,1602195411.434,0.0,0.03333333134651184,1920,1080
29901,2,2,22935.155672576606,1602195411.467,0.0,0.03333333134651184,1920,1080
29902,2,2,22935.189006312972,1602195411.501,0.0,0.03333333134651184,1920,1080
29903,2,2,22935.22234004934,1602195411.534,0.0,0.03333333134651184,1920,1080
29904,2,2,22935.255673785705,1602195411.567,0.0,0.03333333134651184,1920,1080
29905,2,2,22935.28900752207,1602195411.601,0.0,0.03333333134651184,1920,1080
29906,2,2,22935.322341258438,1602195411.634,0.0,0.03333333134651184,1920,1080
29907,2,2,22935.355674994804,1602195411.667,0.0,0.03333333134651184,1920,1080
29908,2,2,22935.38900873117,1602195411.701,0.0,0.03333333134651184,1920,1080
29909,2,2,22935.422342467537,1602195411.734,0.0,0.03333333134651184,1920,1080
29910,2,2,22935.4556762039,1602195411.767,0.0,0.03333333134651184,1920,1080
29911,2,2,22935.489009940266,1602195411.801,0.0,0.03333333134651184,1920,1080
29912,2,2,22935.522343676632,1602195411.834,0.0,0.03333333134651184,1920,1080
29913,2,2,22935.555677413,1602195411.867,0.0,0.03333333134651184,1920,1080
29914,2,2,22935.589011149365,1602195411.901,0.0,0.03333333134651184,1920,1080
29915,2,2,22935.62234488573,1602195411.934,0.0,0.03333333134651184,1920,1080
29916,2,2,22935.655678622097,1602195411.967,0.0,0.03333333134651184,1920,1080
29917,2,2,22935.689012358464,1602195412.001,0.0,0.03333333134651184,1920,1080
29918,2,2,22935.72234609483,1602195412.034,0.0,0.03333333134651184,1920,1080
29919,2,2,22935.755679831196,1602195412.067,0.0,0.03333333134651184,1920,1080
29920,2,2,22935.789013567563,1602195412.101,0.0,0.03333333134651184,1920,1080
29921,2,2,22935.82234730393,1602195412.134,0.0,0.03333333134651184,1920,1080
29922,2,2,22935.85568104029,1602195412.167,0.0,0.03333333134651184,1920,1080
29923,2,2,22935.889014776658,1602195412.201,0.0,0.03333333134651184,1920,1080
29924,2,2,22935.922348513024,1602195412.234,0.0,0.03333333134651184,1920,1080
29925,2,2,22935.95568224939,1602195412.267,0.0,0.03333333134651184,1920,1080
29926,2,2,22935.989015985757,1602195412.301,0.0,0.03333333134651184,1920,1080
29927,2,2,22936.022349722123,1602195412.334,0.0,0.03333333134651184,1920,1080
29928,2,2,22936.05568345849,1602195412.367,0.0,0.03333333134651184,1920,1080
29929,2,2,22936.089017194856,1602195412.401,0.0,0.03333333134651184,1920,1080
29930,2,2,22936.122350931222,1602195412.434,0.0,0.03333333134651184,1920,1080
29931,2,2,22936.15568466759,1602195412.467,0.0,0.03333333134651184,1920,1080
29932,2,2,22936.189018403955,1602195412.501,0.0,0.03333333134651184,1920,1080
29933,2,2,22936.22235214032,1602195412.534,0.0,0.03333333134651184,1920,1080
29934,2,2,22936.255685876684,1602195412.567,0.0,0.03333333134651184,1920,1080
