,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
373,21950.877105160365,,,,,
374,21950.910438896728,,,,,
375,21950.943772633094,,,,,
376,21950.97710636946,,,,,
377,21951.010440105827,,,,,
378,21951.043773842193,,,,,
379,21951.07710757856,,,,,
380,21951.110441314926,,,,,
381,21951.143775051292,,,,,
382,21951.17710878766,,,,,
383,21951.210442524025,,,,,
384,21951.24377626039,,,,,
385,21951.277109996758,,,,,
386,21951.310443733124,,,,,
387,21951.343777469487,,,,,
388,21951.377111205853,,,,,
389,21951.41044494222,,,,,
390,21951.443778678586,,,,,
391,21951.477112414952,,,,,
392,21951.51044615132,,,,,
393,21951.543779887685,,,,,
394,21951.57711362405,,,,,
395,21951.610447360417,,,,,
396,21951.643781096784,,,,,
397,21951.67711483315,,,,,
398,21951.710448569516,,,,,
399,21951.74378230588,,,,,
400,21951.777116042245,,,,,
401,21951.81044977861,,,,,
402,21951.843783514978,,,,,
403,21951.877117251344,,,,,
404,21951.91045098771,,,,,
405,21951.943784724077,,,,,
406,21951.977118460443,,,,,
407,21952.01045219681,,,,,
408,21952.043785933176,,,,,
409,21952.077119669542,,,,,
410,21952.11045340591,,,,,
411,21952.14378714227,,,,,
412,21952.177120878638,,,,,
413,21952.210454615004,,,,,
414,21952.24378835137,,,,,
415,21952.277122087737,,,,,
416,21952.310455824103,,,,,
417,21952.34378956047,,,,,
418,21952.377123296836,,,,,
419,21952.410457033202,,,,,
420,21952.44379076957,,,,,
421,21952.477124505935,,,,,
422,21952.5104582423,,,,,
423,21952.543791978664,,,,,
424,21952.57712571503,,,,,
425,21952.610459451396,,,,,
426,21952.643793187763,,,,,
427,21952.67712692413,,,,,
428,21952.710460660495,,,,,
429,21952.74379439686,,,,,
430,21952.777128133228,,,,,
431,21952.810461869594,,,,,
432,21952.84379560596,,,,,
433,21952.877129342327,,,,,
434,21952.910463078693,,,,,
435,21952.94379681506,,,,,
436,21952.977130551422,,,,,
437,21953.01046428779,,,,,
438,21953.043798024155,,,,,
439,21953.07713176052,,,,,
440,21953.110465496888,,,,,
441,21953.143799233254,,,,,
442,21953.17713296962,,,,,
443,21953.210466705987,,,,,
444,21953.243800442353,,,,,
445,21953.27713417872,,,,,
446,21953.310467915086,,,,,
447,21953.343801651452,,,,,
448,21953.377135387815,,,,,
449,21953.41046912418,,,,,
450,21953.443802860547,,,,,
451,21953.477136596914,,,,,
452,21953.51047033328,,,,,
453,21953.543804069646,,,,,
454,21953.577137806013,,,,,
455,21953.61047154238,,,,,
456,21953.643805278745,,,,,
457,21953.67713901511,,,,,
458,21953.710472751478,,,,,
459,21953.743806487844,,,,,
460,21953.777140224207,,,,,
461,21953.810473960573,,,,,
462,21953.84380769694,,,,,
463,21953.877141433306,,,,,
464,21953.910475169672,,,,,
465,21953.94380890604,,,,,
466,21953.977142642405,,,,,
467,21954.01047637877,,,,,
468,21954.043810115138,,,,,
469,21954.077143851504,,,,,
470,21954.11047758787,,,,,
471,21954.143811324237,,,,,
472,21954.177145060603,,,,,
473,21954.210478796966,,,,,
474,21954.243812533332,,,,,
475,21954.2771462697,,,,,
476,21954.310480006065,,,,,
477,21954.34381374243,,,,,
478,21954.377147478797,,,,,
479,21954.410481215164,,,,,
480,21954.44381495153,,,,,
481,21954.477148687896,,,,,
482,21954.510482424263,,,,,
483,21954.54381616063,,,,,
484,21954.577149896995,,,,,
485,21954.610483633358,,,,,
486,21954.643817369724,,,,,
487,21954.67715110609,,,,,
488,21954.710484842457,,,,,
489,21954.743818578823,,,,,
490,21954.77715231519,,,,,
491,21954.810486051556,,,,,
492,21954.843819787922,,,,,
493,21954.87715352429,,,,,
494,21954.910487260655,,,,,
495,21954.94382099702,,,,,
496,21954.977154733388,,,,,
497,21955.01048846975,,,,,
498,21955.043822206117,,,,,
499,21955.077155942483,,,,,
500,21955.11048967885,,,,,
501,21955.143823415216,,,,,
502,21955.177157151582,,,,,
503,21955.21049088795,,,,,
504,21955.243824624315,,,,,
505,21955.27715836068,,,,,
506,21955.310492097047,,,,,
507,21955.343825833414,,,,,
508,21955.37715956978,,,,,
509,21955.410493306143,,,,,
510,21955.44382704251,,,,,
511,21955.477160778875,,,,,
512,21955.51049451524,,,,,
513,21955.543828251608,,,,,
514,21955.577161987974,,,,,
515,21955.61049572434,,,,,
516,21955.643829460707,,,,,
517,21955.677163197073,,,,,
518,21955.71049693344,,,,,
519,21955.743830669806,,,,,
520,21955.777164406172,,,,,
521,21955.81049814254,,,,,
522,21955.8438318789,,,,,
523,21955.877165615268,,,,,
524,21955.910499351634,,,,,
525,21955.943833088,,,,,
526,21955.977166824367,,,,,
527,21956.010500560733,,,,,
528,21956.0438342971,,,,,
529,21956.077168033466,,,,,
530,21956.110501769832,,,,,
531,21956.1438355062,,,,,
532,21956.177169242565,,,,,
533,21956.21050297893,,,,,
534,21956.243836715294,,,,,
535,21956.27717045166,,,,,
536,21956.310504188026,,,,,
537,21956.343837924393,,,,,
538,21956.37717166076,,,,,
539,21956.410505397125,,,,,
